paperID;studyID;effectID;doi;Author;studyTitle;pubYear;journalH5;citations;source;published;possibleCOI;requestsNotes;notes;gameName;gameTheme;Game_complexity;useMeta;reasonUseMeta;focal;design;randomization;predictedDirection;nTotal;nMale;nFemale;nExp;nCtrl;mExp;mCtrl;sdExp;sdCtrl;seExp;seCtrl;sampleRestricted;meanAge;ageGroup;sampleDescription;controlsActive;Controls_string;controlsText;contrast;items;F;t;chiSq;r;beta;B;otherES;df1;df2;pReported;dReported;interventionDuration(m);interventionDurationString;InterventionDurText;posttestDelay(day);posttestDelayString;posstestDelayText;Attitudes_theme;Att_type_exp_imp;explicitMeasure;explicitMeasure_description;implicitMeasure;implicitMeasure_description;compensation;inLabAdministration;controlledGameplay;gamegenre;gamegenrespecific;relevance_persuasion;relevance_persuasion_note;persuasive_mechanic;Commercial;Culture;;
4;1;1;dx.doi.org/10.1080/1369118X.2011.627176;Barthel;PRESIDENT FOR A DAY;2011;59;13;1;1;0;;posttest only;PRESIDENT FOR A DAY;civic education;2;1;;1;1;1;1;81;32;49;42;39;2.88;2.85;0.46;0.68;;;1;19.5;university students;"the sample consisted of undergraduates
at a large northeastern university.";0;nothing;only tests;game vs no-game;8;0.01;;;;;;;1;79;> .95;;;;;0;immediate;;Others;1;Likert;5-point Likert;;;;1;1;simulation/strategy;top down economical simulation;1;"economical simulation, “The pedagogical goal was to
show how budgetary choices are constrained by limited resources and political
pressures.” unable to play";Economical model;0;USA;;
4;1;2;dx.doi.org/10.1080/1369118X.2011.627176;Barthel;PRESIDENT FOR A DAY;2011;59;13;1;1;0;;posttest only;PRESIDENT FOR A DAY;civic education;2;1;;1;1;1;1;81;32;49;42;39;2.6;2.91;0.69;0.7;;;1;19.5;university students;"the sample consisted of undergraduates
at a large northeastern university.";0;nothing;only tests;game vs no-game;4;2.03;;;;;;;1;79;< .05;;;;nenalezeno;0;immediate;;Others;1;Likert;5-point Likert;;;;1;1;simulation/strategy;top down economical simulation;1;"economical simulation, “The pedagogical goal was to
show how budgetary choices are constrained by limited resources and political
pressures.” unable to play";Economical model;0;USA;;
5;1;1;DOI: 10.1089/cyber.2018.0030;Pena;"Game Perspective-Taking Effects on Players’
Behavioral Intention, Attitudes, Subjective Norms,
and Self-Efficacy to Help Immigrants:
The Case of ‘‘Papers, Please’’";2018;50;2;1;1;0;yes - one part says that he measures towards immigrants, in the other that towards helping immigrants;pretest - intervention, middle test, same intervention, posttest;Papers, Please;Immigration;4;1;;1;1;1;1;172;23;149;89;83;5.26;5.41;1.06;0.89;;;1;20.15;university students;"undergraduate students at a large U.S. West Coast university participated
in the study for extra credit";1;Game sim mechanic;The Westport indenepent - game about newspaper editor perspective - deciding whether publishing the truth or not in a totalitarian society;game vs non-related topic game;7;0.61;;;;;;;1;169;0.43;;45;Medium;"At the laboratory, participants watched a video tutorial
on how to play their randomly assigned game, played
the game for 45 minutes, and then answered a survey. Participants
played four times in total (i.e., twice per session).
To further decrease suspicion, all items were interspersed
with decoy questions not reported here (e.g., enjoyment).
The participants then came to the laboratory for a second
45-minute play session and answered the same survey. The
procedure took place during the same week, and surveys
were answered within 1 day of each other.";0;immediate;1;Social justice;1;Semantic;Semantic differential;;;credit;1, 3;1;simulation/strategy;strategy/simulation;2;personal stories, perspective taking - from one side, however game provides more perspectives implicitly, but its relevance towards the measured phenomena is speculative - helping immigrants is causing my family problems, so the other perspective is not adequately represented;Perspective-taking;1;USA;;
5;1;2;DOI: 10.1089/cyber.2018.0030;Pena;"Game Perspective-Taking Effects on Players’
Behavioral Intention, Attitudes, Subjective Norms,
and Self-Efficacy to Help Immigrants:
The Case of ‘‘Papers, Please’’";2018;50;2;1;1;0;yes - one part says that he measures towards immigrants, in the other that towards helping immigrants;pretest - intervention, middle test, same intervention, posttest;Papers, Please;Immigration;4;1;;1;1;1;1;172;23;149;89;83;5.21;5.47;1.15;1.02;;;1;20.15;university students;"undergraduate students at a large U.S. West Coast university participated
in the study for extra credit";1;Game sim mechanic;The Westport indenepent - game about newspaper editor perspective - deciding whether publishing the truth or not in a totalitarian society;game vs non-related topic game;7;2.15;;;;;;;1;169;0.14;;90;medium;"At the laboratory, participants watched a video tutorial
on how to play their randomly assigned game, played
the game for 45 minutes, and then answered a survey. Participants
played four times in total (i.e., twice per session).
To further decrease suspicion, all items were interspersed
with decoy questions not reported here (e.g., enjoyment).
The participants then came to the laboratory for a second
45-minute play session and answered the same survey. The
procedure took place during the same week, and surveys
were answered within 1 day of each other.";0;immediate;1;Social justice;1;Semantic;Semantic differential;;;credit;1, 3;2;simulation/strategy;strategy/simulation;2;personal stories, perspective taking - from one side, however game provides more perspectives implicitly, but its relevance towards the measured phenomena is speculative - helping immigrants is causing my family problems, so the other perspective is not adequately represented;Perspective-taking;1;USA;;
6;1;1;https://doi.org/10.1016/j.appet.2018.05.141;Alblas;"Investigating the impact of a health game on implicit attitudes towards food and food
choice behaviour of young adults";2018;66;3;1;1;0;;;Sky Islands;healhy nutrition;2;1;;1;1;1;1;125;46;79;62;63;0.78;0.69;0.36;0.41;;;1;20.17;university students;128 undergraduate students¨at Radboud university, numbers from 125 students;1;Game sim mechanic;identical game - instead of pictures of food pictures of clean and fossil fuels;game vs non-related topic game;;;;;;;;;;;;;10;short;build-in time;0;immediate;;Health;0;;;IAT;IAT;5 euro coupon;1;1;simulation/strategy;strategy/simulation;1;evaluation conditioning  paradigm;Procedural rhetorics;0;Netherlands;;
7;1;1;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;missing data about Control condition in increasing anti-Arab attitudes;4;Counter Strike: Arab Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in arab stereotype visuals;4;1;;1;1;1;1;204;102;100;;;0.58;0.5;0.31;0.27;;;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;Game sim mechanic;game with russian visuals;game with Arab visuals vs the same game with Russian visuals;;;;;;;;;;;;;30;Medium;;0;immediate;;Social justice;0;;;IAT;IAT european vs Arab;two credits;1;1;action violent game;action violent game;1;effect of stereotype video game portrayals toward stereotyped groups (russians vs Arabs vs non-violent) on anti-Arab attitudes;Stereotype rehearsal;1;USA;;
7;1;2;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;missing data about Control condition in increasing anti-Arab attitudes;4;Counter Strike: Arab Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in Russian stereotype visuals;4;1;;1;1;1;1;204;102;100;;;0.58;0.41;0.31;0.36;;;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;golf game with no relation to the theme;game with Arab visuals vs unrelated game;;7.74;;;;;;;1;175;< .01;0.42;30;Medium;;0;immediate;;Social justice;0;;;IAT;IAT european vs Arab;two credits;1;1;action violent game;action violent game;1;effect of stereotype video game portrayals toward stereotyped groups (russians vs Arabs vs non-violent) on anti-Arab attitudes;Stereotype rehearsal;1;USA;;
7;1;3;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;missing precise numbers in the control condition;4;Counter Strike: Russian Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in arab stereotype visuals;4;1;;1;1;1;1;204;102;100;;;0.5;0.41;0.27;0.36;;;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;golf game with no relation to the theme;game with Russian  visuals vs unrelated game;;;;;;;;;;;;;30;Medium;;0;immediate;;Social justice;0;;;;IAT european vs Arab;two credits;1;1;action violent game;action violent game;1;effect of stereotype video game portrayals toward stereotyped groups (russians vs Arabs vs non-violent) on anti-Arab attitudes;Stereotype rehearsal;1;USA;;
7;1;4;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;missing precise numbers in the control condition;;Counter Strike: Arab Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in arab stereotype visuals;4;1;;1;1;1;1;204;102;100;;;0.15;0.1;0.88;0.76;;;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;Game sim mechanic;game with russian visuals;game with Arab visuals vs the same game with Russian visuals;;;;;;;;;;;;;30;Medium;;0;immediate;;Social justice;1;Semantic;"unclear - Arab-Focused Semantic Differential,
Attitude Toward Other Groups, Blatant and Subtle
Prejudice Scales,";;;two credits;1;1;action violent game;action violent game;1;effect of stereotype video game portrayals toward stereotyped groups (russians vs Arabs vs non-violent) on anti-Arab attitudes;Stereotype rehearsal;1;USA;;
7;1;5;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;missing precise numbers in the control condition;;Counter Strike: Russian Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in Russian stereotype visuals;4;1;;1;1;1;1;204;102;100;;;0.15;-0.22;0.88;0.95;;;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;golf game with no relation to the theme;game with Arab visuals vs unrelated game;;5.44;;;;;;;1;186;< .05;0.34;30;Medium;;0;immediate;;Social justice;1;Semantic;"unclear - Arab-Focused Semantic Differential,
Attitude Toward Other Groups, Blatant and Subtle
Prejudice Scales,";;;two credits;1;1;action violent game;action violent game;1;effect of stereotype video game portrayals toward stereotyped groups (russians vs Arabs vs non-violent) on anti-Arab attitudes;Stereotype rehearsal;1;USA;;
7;1;6;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;missing precise numbers in the control condition;;Counter Strike: Arab terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in arab stereotype visuals;4;1;;1;1;1;1;204;102;100;;;0.1;-0.22;0.76;0.95;;;1;19.57;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;golf game with no relation to the theme;game with Russian  visuals vs unrelated game;;4.13;;;;;;;1;186;< .05;0.3;30;Medium;;0;immediate;;Social justice;1;Semantic;"unclear - Arab-Focused Semantic Differential,
Attitude Toward Other Groups, Blatant and Subtle
Prejudice Scales,";;;two credits;1;1;action violent game;action violent game;1;effect of stereotype video game portrayals toward stereotyped groups (russians vs Arabs vs non-violent) on anti-Arab attitudes;Stereotype rehearsal;1;USA;;
7;2;1;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;some missing numbers;"five between-subjects
game conditions, four of which can be thought
of as constituting a 2 (terrorism theme: present/
absent)   2 (Arab characters: present/absent)
design. This 2   2 design allows tests of potential
additive and interactive effects of terrorism
theme and stereotypic Arab characters. The
fifth game condition used a violent shooter nonterrorist
game, to allow specific tests of whether
the terrorism versus nonviolent game effects are
uniquely produced by the terrorism theme or
merely by the presence of violent content.";Counter Strike: Arab terrorists Counter Strike: Russian Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in arab stereotype visuals;4;1;;1;1;1;1;250;203;82;;;0.69;0.53;0.29;0.39;;;1;19.42;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;;two terrorism games vs two non violent games;;10.76;;;;;;;1;225;< .01;0.44;30;Medium;;0;immediate;;Social justice;0;;;IAT;IAT european vs Arab;;1;1;action violent game;action violent ga,e;1;"portrayal of Arabs -> five between-subjects
game conditions, four of which can be thought
of as constituting a 2 (terrorism theme: present/
absent)   2 (Arab characters: present/absent)
design. This 2   2 design allows tests of potential
additive and interactive effects of terrorism
theme and stereotypic Arab characters. The
fifth game condition used a violent shooter nonterrorist
game, to allow specific tests of whether
the terrorism versus nonviolent game effects are
uniquely produced by the terrorism theme or
merely by the presence of violent content.";Stereotype rehearsal;1;USA;;
7;2;2;DOI: 10.1037/a0030038;Saleem & Anderson;"Arabs as Terrorists: Effects of Stereotypes Within Violent Contexts
on Attitudes, Perceptions, and Affect";2013;31;119;1;1;0;some missing numbers;"five between-subjects
game conditions, four of which can be thought
of as constituting a 2 (terrorism theme: present/
absent)   2 (Arab characters: present/absent)
design. This 2   2 design allows tests of potential
additive and interactive effects of terrorism
theme and stereotypic Arab characters. The
fifth game condition used a violent shooter nonterrorist
game, to allow specific tests of whether
the terrorism versus nonviolent game effects are
uniquely produced by the terrorism theme or
merely by the presence of violent content.";Counter Strike: Arab terrorists Counter Strike: Russian Terrorists;violent cooperative FPS where group of terrorists plant a bomb and group of anti terrorists try to stop them - in this situation intentionally put in arab stereotype visuals;4;1;;1;1;1;1;250;203;82;;;0.69;0.58;0.29;0.29;;;1;19.42;university students;"were
recruited from introductory psychology courses
at Iowa State University.";1;game diff mechanic;;two terrorism games vs one violent non-terrorism game ;;3.97;;;;;;;1;225;< .05;0.27;30;Medium;;0;immediate;;Social justice;0;;;IAT;IAT european vs Arab;;1;1;action violent game;action violent ga,e;1;contrasts confusing compared to hypotheses;Stereotype rehearsal;1;USA;;
