"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"19_Behm-Morawitz_2016_The virtual threat effect","F",5,43,"=",2.62,"<",0.05,0.0373380537516226,"F(5,
43) = 2.62, p < 0.05",FALSE,FALSE,FALSE,FALSE,0.43
"19_Behm-Morawitz_2016_The virtual threat effect","F",5,43,"=",7.38,"<",0.001,4.53478638395762e-05,"F(5, 43) = 7.38, p < 0.001",FALSE,FALSE,FALSE,FALSE,0.43
"19_Behm-Morawitz_2016_The virtual threat effect","F",5,44,"=",2.2,"=",0.08,0.0712962519511926,"F(5, 44) = 2.20, p = 0.08",TRUE,FALSE,FALSE,FALSE,0.43
"19_Behm-Morawitz_2016_The virtual threat effect","F",5,44,"=",5.86,"<",0.05,0.00031189378865018,"F(5, 44) = 5.86,
p < 0.05",FALSE,FALSE,FALSE,FALSE,0.43
"19_Behm-Morawitz_2016_The virtual threat effect","F",1,106,"=",5.51,"=",0.02,0.0207651211519517,"F(1, 106) = 5.51, p = 0.02",FALSE,FALSE,FALSE,FALSE,0.43
"19_Behm-Morawitz_2016_The virtual threat effect","F",1,103,"=",0.072,"=",0.79,0.788983403218439,"F(1, 103) = 0.072, p = 0.79",FALSE,FALSE,FALSE,FALSE,0.43
"1_Kampf_2016_Long-Term Effects of Computerized Simulations in Protracted Conflicts","F",3,176,"=",71.03,"<",1e-04,3.78884398313233e-30,"F(3,
176) = 71.03, p < .0001",FALSE,FALSE,FALSE,FALSE,0.5
"22_Jacobs_2018_Play to win over","F",1,151,"=",5.9,"=",0.017,0.0163152042996538,"F(1,151)= 5.9, p=.017",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,151,"=",69.452,"<",0.001,4.45787067811082e-14,"F(1, 151)=69.452, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,235,"=",125.3,"<",0.001,1.36254798058157e-23,"F(1,235)= 125.3, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,235,"=",4.1,"=",0.044,0.0440141686426696,"F(1,235)= 4.1, p=.044",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,231,"=",28,"<",0.001,2.81564940243377e-07,"F(1,231)= 28.0,
p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,110,"=",29.6,"<",0.001,3.24759254350696e-07,"F(1, 110)= 29.6, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,110,"=",15.2,"<",0.001,0.000166687691836482,"F(1, 110)= 15.2, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,110,"=",10.3,"=",0.002,0.00174361039074544,"F(1, 110)= 10.3, p=.002",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,110,"=",15.5,"<",0.001,0.000145022602404159,"F(1, 110)= 15.5, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,110,"=",14.9,"<",0.001,0.000191679915015475,"F(1, 110)= 14.9, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,110,"=",7.2,"=",0.008,0.0084161729439147,"F(1, 110)= 7.2, p=.008",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","r",NA,237,"=",0.56,"<",0.001,3.94853427677261e-21,"r(237)= .56, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","t",NA,110,"=",3.7,"<",0.001,0.000338410118538318,"t(110)= 3.7, p<.001",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","t",NA,110,"=",-2,"=",0.052,0.0479646526908604,"t(110)= -2.0, p= .052",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","t",NA,110,"=",2,"=",0.046,0.0479646526908604,"t(110)= 2.0, p= .046",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","t",NA,110,"=",1.9,"=",0.054,0.0600514583903702,"t(110)= 1.9, p= .054",FALSE,FALSE,FALSE,TRUE,0.77
"22_Jacobs_2018_Play to win over","F",1,123,"=",5.5,"=",0.021,0.0206175824767313,"F(1, 123)= 5.5, p=.021",FALSE,FALSE,FALSE,TRUE,0.77
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,408,"=",4.787,"=",0.029,0.0292419579345374,"F(1, 408) =
4.787, p = .029",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,219,"=",50.803,"<",0.001,1.461211424984e-11,"F(1,
219) = 50.803, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,219,"=",47.561,"<",0.001,5.63343526452703e-11,"F(1,
219) = 47.561, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,219,"=",45.075,"<",0.001,1.6052170739575e-10,"F(1,
219) = 45.075, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,219,"=",95.392,"<",0.001,6.18448786844657e-19,"F(1,
219) = 95.392, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,226,"=",2.384,"=",0.124,0.123982388130208,"F(1,226) = 2.384, p = .124",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,243,"=",0.21,"=",0.647,0.647176947759745,"F(1, 243) = .210, p = .647",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,243,"=",2.489,"=",0.116,0.115945428378436,"F(1, 243) = 2.489, p = .116",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,243,"=",0.223,"=",0.637,0.637187312099463,"F(1, 243) = .223, p = .637",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,243,"=",5.06,"=",0.025,0.0253801232882695,"F(1,243) = 5.060, p = .025",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,218,"=",4.3,"=",0.039,0.0392872812539798,"F(1,218) = 4.3, p = .039",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,218,"=",9.011,"=",0.003,0.00299652401303713,"F(1,218) = 9.011, p = .003",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,218,"=",0.698,"=",0.404,0.404371254082195,"F(1,218)
= .698, p = .404",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,218,"=",0.217,"=",0.642,0.641800411737112,"F(1,218) = .217, p = .642",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,101,"=",3.695,"=",0.014,0.0142984871568053,"F(3,101) = 3.695, p
= .014",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,101,"=",5.192,"=",0.025,0.0247962852739551,"F(1,101) = 5.192, p = .025",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,42,"=",3.478,"<",0.001,0.00118919275207468,"t(42) = 3.478, p < .001",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,24,"=",0.156,"=",0.88,0.877337778790495,"t(24) = .156, p = .880",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,27,"=",-1.07,"=",0.294,0.294091922102764,"t(27) = -1.070, p = .294",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,25,"=",1.397,"=",0.175,0.174691662235117,"t(25) = 1.397, p = .175",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,101,"=",1.549,"=",0.932,0.206514700143545,"F(3,101) = 1.549, p = .932",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,122,"=",-0.649,"=",0.517,0.517558250656073,"t(122) = -.649, p = .517",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,70,"=",0.18,"=",0.13,0.130277795896878,"r(70) = .180, p = .130",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",-0.038,"=",0.706,0.705966996745577,"r(99) = -.038, p = .706",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",-0.054,"=",0.59,0.591730639926952,"r(99) = -.054, p = .590",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,100,"=",0.157,"=",0.115,0.115055810782345,"r(100) = .157, p = .115",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,119,"=",0.056,"=",0.814,0.813340475091224,"F(1,119) = .056, p = .814",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,70,"=",0.059,"=",0.621,0.622507965265691,"r(70) = .059, p = .621",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",0.032,"=",0.732,0.750731935416541,"r(99) = .032, p = .732",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",-0.039,"=",0.697,0.698597883131921,"r(99) = -.039, p = .697",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,100,"=",0.165,"=",0.097,0.0974668481632965,"r(100) = .165, p = .097",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,119,"=",2.888,"=",0.092,0.09185429555894,"F(1,119) = 2.888, p = .092",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,114,"=",0.001,"=",0.999,0.999000508596435,"F(2,114)
= .001, p = .999",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,171,"=",3.054,"=",0.055,0.0497511531891024,"F(2,171) = 3.054, p = .055",TRUE,TRUE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,170,"=",1.058,"=",0.349,0.349423844585144,"F(2, 170) = 1.058, p = .349",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,171,"=",0.944,"=",0.391,0.391086419341498,"F(2, 171) = .944, p = .391",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,59,"=",1.496,"=",0.225,0.224965823179835,"F(3,59)
= 1.496, p = .225",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,59,"=",0.866,"=",0.464,0.463881297314914,"F(3,59) = .866, p = .464",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,106,"=",0.066,"=",0.978,0.977791707274786,"F(3,106) = .066, p = .978",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,106,"=",0.283,"=",0.838,0.837572969283743,"F(3,106) = .283, p = .838",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,116,"=",1.265,"=",0.29,0.289727466892832,"F(3,116) = 1.265, p = .290",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,116,"=",0.594,"=",0.62,0.620163457040491,"F(3,116) = .594, p = .620",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,101,"=",0.525,"=",0.666,0.666087742361788,"F(3,101) = .525, p = .666",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,121,"=",1.756,"=",0.082,0.0816186568414422,"t(121) = 1.756, p = .082",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,101,"=",2.993,"=",0.034,0.0344157725854054,"F(3,101) = 2.993, p = .034",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,101,"=",0.084,"=",0.773,0.772542347352967,"F(1,101) = .084, p = .773",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,42,"=",-6.849,"<",0.001,2.39070050986439e-08,"t(42) = -6.849, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,24,"=",-4.313,"<",0.001,0.000238296780332757,"t(24) = -4.313, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,27,"=",-4.571,"<",0.001,9.64521371630471e-05,"t(27) = -4.571, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,25,"=",-6.426,"<",0.001,9.95424892728735e-07,"t(25) = -6.426, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,70,"=",-0.121,"=",0.313,0.311310534462936,"r(70) = -.121, p = .313",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",-0.021,"=",0.834,0.834882776182451,"r(99) = -.021, p = .834",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",-0.011,"=",0.916,0.913062981763478,"r(99) = -.011, p = .916",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,100,"=",0.042,"=",0.673,0.675116436523593,"r(100) = .042, p = .673",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,119,"=",0.793,"=",0.375,0.374991382480935,"F(1,119)
= .793, p = .375",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,70,"=",0.081,"=",0.497,0.498792051164789,"r(70) = .081, p = .497",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",-0.085,"=",0.398,0.398034129276884,"r(99) = -.085, p = .398",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,99,"=",0.039,"=",0.7,0.698597883131921,"r(99) = .039, p = .700",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,100,"=",-0.106,"=",0.288,0.288988045849559,"r(100) = -.106, p = .288",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,119,"=",0.406,"=",0.525,0.525230725879079,"F(1,119) = .406, p = .525",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,74,"=",0.026,"=",0.994,0.994288145910528,"F(3,74) = .026, p = .994",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,74,"=",1.525,"=",0.217,0.215087957849458,"F(3,74) = 1.525, p = .217",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,130,"=",0.084,"=",0.804,0.772409941401499,"F(1,130) = .084, p = .804",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,130,"=",1.716,"=",0.193,0.192518819461266,"F(1,130) = 1.716, p = .193",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,130,"=",0.023,"=",0.88,0.879692172832446,"F(1,130) = .023, p
= .880",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,130,"=",4.754,"=",0.031,0.0310306203985542,"F(1,130) = 4.754, p = .031",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,189,"=",19.724,"<",0.001,1.52016566153098e-05,"F(1,189) = 19.724, p < .001",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,189,"=",5.52,"=",0.02,0.0198324135006645,"F(1,189) = 5.520, p = .020",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,189,"=",5.718,"=",0.018,0.0177732327511691,"F(1,189)
= 5.718, p = .018",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,189,"=",4.473,"=",0.036,0.0357449113003258,"F(1,189) = 4.473, p = .036",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,80,"=",2.279,"=",0.086,0.0857631512329664,"F(3,80) = 2.279, p=.086",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,80,"=",0.093,"=",0.761,0.761189354625568,"F(1,80) = .093, p = .761",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,98,"=",-1.551,"=",0.124,0.124125212718046,"t(98) = -1.551, p = .124",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,80,"=",0.291,"=",0.832,0.831778001945006,"F(3,80) = .291, p = .832",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,80,"=",0.546,"=",0.462,0.462119202131715,"F(1,80) = .546, p = .462",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,98,"=",0.065,"=",0.949,0.94830640941385,"t(98) = .065, p = .949",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,55,"=",0.162,"=",0.227,0.228609516109026,"r(55) = .162,
p = .227",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,88,"=",-0.083,"=",0.439,0.436720128153253,"r(88) = -.083, p = .439",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,88,"=",-0.131,"=",0.217,0.218429627875723,"r(88) = -.131, p = .217",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,88,"=",-0.106,"=",0.322,0.320051375537993,"r(88) = -.106, p
= .322",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,98,"=",1.744,"=",0.19,0.189708555890178,"F(1, 98) = 1.744, p = .190",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,55,"=",0.057,"=",0.671,0.673646110115758,"r(55) = .057,
p = .671",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,88,"=",0.159,"=",0.134,0.13442935834945,"r(88) = .159, p = .134",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,88,"=",0.077,"=",0.473,0.47069603580064,"r(88) = .077, p = .473",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","r",NA,88,"=",0.079,"=",0.459,0.459214211208759,"r(88)
= .079, p = .459",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,96,"=",0.239,"=",0.626,0.626044319205805,"F(1,96) = .239, p =.626",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,98,"=",0.581,"=",0.561,0.561253564977724,"F(2,98) = .581,
p = .561",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,169,"=",0.217,"=",0.805,0.805153897372142,"F(2, 169) = .217, p = .805",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,169,"=",0.171,"=",0.843,0.842967217694526,"F(2,169) = .171, p = .843",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,169,"=",4.259,"=",0.016,0.0156835384669136,"F(2,169) = 4.259, p = .016",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,169,"=",8.383,"=",0.004,0.00428800517298861,"F(1,169) = 8.383, p = .004",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",3,54,"=",1.542,"=",0.214,0.214171973348528,"F(3,54) = 1.542, p = .214",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",1,54,"=",0.009,"=",0.925,0.924770575156987,"F(1,54) = .009, p = .925",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","F",2,54,"=",3.855,"=",0.049,0.0272290043952276,"F(2,54) = 3.855, p = .049",TRUE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,53,"=",-1.901,"=",0.063,0.0627455715702306,"t(53) = -1.901, p = .063",FALSE,FALSE,FALSE,FALSE,0.94
"26_Hammer_Playing prejudice The impact of game-play on attributions of gender and racial bias - kopie","t",NA,6,"=",0.918,"=",0.394,0.394023539519236,"t(6) = .918, p = .394",FALSE,FALSE,FALSE,FALSE,0.94
